"국가별","항목","단위","2015 년","2016 년","2017 년",
"아루바","조출생률[‰]","‰","11.38965","11.40895","10.84368",
"아루바","조사망률[‰]","‰","6.2167","7.07735","6.3781",
"아루바","자연증가율[‰]","‰","5.17295","4.33159","4.46557",
"아루바","조혼인율[‰]","‰","6.37234","5.79056","4.84447",
"아루바","조이혼율[‰]","‰","3.35097","3.46165","3.41008",
"아루바","연평균인구증가율[%]","%","1.39651","1.32336","1.20614",
"아루바","인구밀도[㎢당]","㎢당","606.89378","612.73333","615.82222",
"벨리즈","연평균인구증가율[%]","%","2.58846","2.58846","2.58845",
"벨리즈","인구밀도[㎢당]","㎢당","16.03719","16.45772","16.88927",
"브라질","조출생률[‰]","‰","14.44343","14.09119","",
"브라질","조사망률[‰]","‰","6.02297","6.18508","",
"브라질","자연증가율[‰]","‰","8.42046","7.90611","",
"브라질","연평균인구증가율[%]","%",".89555",".8787",".86225",
"브라질","인구밀도[㎢당]","㎢당","24.00848","24.19998","24.38546",
"영국령버진아일랜드","조출생률[‰]","‰","9.1249","","",
"영국령버진아일랜드","조사망률[‰]","‰","4.66536","","",
"영국령버진아일랜드","자연증가율[‰]","‰","4.45954","","",
"케이맨제도","조출생률[‰]","‰","10.98994","10.83975","9.85571",
"케이맨제도","조사망률[‰]","‰","2.87872","3.16981","3.40613",
"케이맨제도","자연증가율[‰]","‰","8.11122","7.66995","6.44958",
"케이맨제도","조혼인율[‰]","‰","7.92495","8.09697","8.08957",
"케이맨제도","연평균인구증가율[%]","%","1.23382","","1.89913",
"케이맨제도","인구밀도[㎢당]","㎢당","223.68939","","240.20833",
"칠레","조출생률[‰]","‰","13.58794","12.7868","",
"칠레","조사망률[‰]","‰","5.73835","5.71826","",
"칠레","자연증가율[‰]","‰","7.84959","7.06854","",
"칠레","조혼인율[‰]","‰","3.429","3.43362","",
"칠레","연평균인구증가율[%]","%","1.03968","1.0372","1.03126",
"칠레","인구밀도[㎢당]","㎢당","23.81479","24.06009","24.30084",
"코스타리카","조출생률[‰]","‰","14.85782","14.31644","13.9115",
"코스타리카","조사망률[‰]","‰","4.35252","4.62252","4.70031",
"코스타리카","자연증가율[‰]","‰","10.5053","9.69393","9.21119",
"코스타리카","조혼인율[‰]","‰","5.48477","5.46407","5.15515",
"코스타리카","조이혼율[‰]","‰","2.09175","2.69031","2.55948",
"코스타리카","연평균인구증가율[%]","%","1.26138","1.24316","1.23095",
"코스타리카","인구밀도[㎢당]","㎢당","94.59397","95.69006","96.80431",
"쿠바","조출생률[‰]","‰","11.12802","10.39868","10.23772",
"쿠바","조사망률[‰]","‰","8.87036","8.84305","9.52268",
"쿠바","자연증가율[‰]","‰","2.25765","1.55564",".71504",
"쿠바","조혼인율[‰]","‰","5.50795","5.50782","4.78035",
"쿠바","조이혼율[‰]","‰","2.95178","2.81143","2.86577",
"쿠바","연평균인구증가율[%]","%",".11998",".10065",".07487",
"쿠바","인구밀도[㎢당]","㎢당","102.2775","102.28162","102.19997",
"도미니카공화국","조혼인율[‰]","‰","5.02573","5.2502","",
"도미니카공화국","조이혼율[‰]","‰","2.03923","2.1588","",
"도미니카공화국","연평균인구증가율[%]","%","1.03139","1.01706","1.00461",
"도미니카공화국","인구밀도[㎢당]","㎢당","205.05523","207.00304","208.93699",
"엘살바도르","조출생률[‰]","‰","16.96786","","",
"엘살바도르","연평균인구증가율[%]","%",".87735",".88623",".89322",
"엘살바도르","인구밀도[㎢당]","㎢당","307.03557","309.90638","312.8181",
"프랑스령기아나","조출생률[‰]","‰","26.44668","27.69239","29.3887",
"프랑스령기아나","조사망률[‰]","‰","3.24075","3.43203","3.51628",
"프랑스령기아나","자연증가율[‰]","‰","23.20593","24.26036","25.87241",
"프랑스령기아나","조혼인율[‰]","‰","2.29262","2.40356","",
"프랑스령기아나","조이혼율[‰]","‰",".81213","","",
"프랑스령기아나","연평균인구증가율[%]","%","","2.27429","2.56842",
"프랑스령기아나","인구밀도[㎢당]","㎢당","3.04715","3.14276","3.28193",
"그레나다","연평균인구증가율[%]","%","1.02581","",".84866",
"그레나다","인구밀도[㎢당]","㎢당","320.48116","","323.09275",
"과들루프","조출생률[‰]","‰","11.87403","11.78494","10.52089",
"과들루프","조사망률[‰]","‰","7.31988","8.17322","7.95824",
"과들루프","자연증가율[‰]","‰","4.55414","3.61172","2.56265",
"과들루프","조혼인율[‰]","‰","2.95213","3.00132","",
"과들루프","조이혼율[‰]","‰","1.65995","","",
"과들루프","연평균인구증가율[%]","%","","-.31829","-.42431",
"과들루프","인구밀도[㎢당]","㎢당","234.68152","232.09677","230.0129",
"과테말라","조출생률[‰]","‰","24.19769","","",
"과테말라","조사망률[‰]","‰","4.99971","","",
"과테말라","자연증가율[‰]","‰","19.19798","","",
"과테말라","조혼인율[‰]","‰","4.89468","","",
"과테말라","조이혼율[‰]","‰",".35398","","",
"가이아나","조사망률[‰]","‰","6.6072","6.87194","6.62157",
"가이아나","조혼인율[‰]","‰","6.36826","5.97882","5.38196",
"가이아나","연평균인구증가율[%]","%","-.27177","","-.20562",
"가이아나","인구밀도[㎢당]","㎢당","3.45148","","3.44871",
"자메이카","조출생률[‰]","‰","13.90679","13.2544","12.52109",
"자메이카","조혼인율[‰]","‰","6.74167","6.45455","6.38019",
"자메이카","조이혼율[‰]","‰",".63626",".78661","1.16017",
"자메이카","연평균인구증가율[%]","%",".1751",".16446",".13994",
"자메이카","인구밀도[㎢당]","㎢당","248.0394","248.31555","248.29762",
"마르티니크","조출생률[‰]","‰","10.42856","10.00415","9.71236",
"마르티니크","조사망률[‰]","‰","8.02621","8.68684","8.5837",
"마르티니크","자연증가율[‰]","‰","2.40235","1.31731","1.12866",
"마르티니크","조혼인율[‰]","‰","2.67015","2.82243","",
"마르티니크","조이혼율[‰]","‰",".96882","","",
"마르티니크","연평균인구증가율[%]","%","","-.74918","-.72072",
"마르티니크","인구밀도[㎢당]","㎢당","335.32181","334.08422","332.25177",
"니카라과","연평균인구증가율[%]","%","1.48161","","1.35431",
"니카라과","인구밀도[㎢당]","㎢당","48.03679","","49.04237",
"파나마","조출생률[‰]","‰","19.09265","18.62353","18.26001",
"파나마","조사망률[‰]","‰","4.57362","4.67719","4.48692",
"파나마","자연증가율[‰]","‰","14.51903","13.94635","13.77309",
"파나마","조혼인율[‰]","‰","3.60743","3.5256","",
"파나마","조이혼율[‰]","‰","1.12668","1.08","",
"파나마","연평균인구증가율[%]","%","1.64324","1.6258","1.60811",
"파나마","인구밀도[㎢당]","㎢당","52.78019","53.59855","54.40965",
