"국가별","성별","항목","단위","2010 년","2015 년","2020 년",
"중앙아프리카공화국","여자","기대수명[세]","세","47.42","50.51","54.87",
"코모로","합계","기대수명[세]","세","60.886","62.825","63.983",
"코모로","남자","기대수명[세]","세","59.31","61.2","62.27",
"코모로","여자","기대수명[세]","세","62.51","64.5","65.76",
"콩고","합계","기대수명[세]","세","58.183","61.656","64.157",
"콩고","남자","기대수명[세]","세","57.04","60.51","62.7",
"콩고","여자","기대수명[세]","세","59.24","62.74","65.57",
"이집트","합계","기대수명[세]","세","69.867","70.834","71.744",
"이집트","남자","기대수명[세]","세","67.62","68.71","69.52",
"이집트","여자","기대수명[세]","세","72.21","73.05","74.08",
"에티오피아","합계","기대수명[세]","세","59.08","63.697","65.967",
"에티오피아","남자","기대수명[세]","세","57.57","61.92","64.09",
"에티오피아","여자","기대수명[세]","세","60.63","65.51","67.88",
"가나","합계","기대수명[세]","세","60.126","61.822","63.652",
"가나","남자","기대수명[세]","세","59.17","60.92","62.6",
"가나","여자","기대수명[세]","세","61.09","62.73","64.72",
"케냐","합계","기대수명[세]","세","58.487","62.919","66.178",
"케냐","남자","기대수명[세]","세","56.66","60.64","63.82",
"케냐","여자","기대수명[세]","세","60.28","65.17","68.5",
"레소토","합계","기대수명[세]","세","43.068","48.153","53.511",
"레소토","남자","기대수명[세]","세","40.64","45.22","50.4",
"레소토","여자","기대수명[세]","세","45.83","51.31","56.75",
"라이베리아","합계","기대수명[세]","세","58.1","60.734","63.596",
"라이베리아","남자","기대수명[세]","세","56.44","59.25","62.22",
"라이베리아","여자","기대수명[세]","세","59.8","62.24","64.97",
"리비아","합계","기대수명[세]","세","72.335","71.736","72.701",
"리비아","남자","기대수명[세]","세","70.14","68.87","69.9",
"리비아","여자","기대수명[세]","세","74.86","74.93","75.74",
"마다가스카르","합계","기대수명[세]","세","62.228","64.505","66.487",
"마다가스카르","남자","기대수명[세]","세","60.81","63.02","64.89",
"마다가스카르","여자","기대수명[세]","세","63.66","66","68.1",
"말라위","합계","기대수명[세]","세","51.314","59.559","63.432",
"말라위","남자","기대수명[세]","세","48.74","56.64","60.29",
"말라위","여자","기대수명[세]","세","54.02","62.51","66.57",
"말리","합계","기대수명[세]","세","54.024","56.235","58.71",
"말리","남자","기대수명[세]","세","53.39","55.59","57.96",
"말리","여자","기대수명[세]","세","54.65","56.87","59.46",
"모로코","합계","기대수명[세]","세","73.413","75.029","76.33",
"모로코","남자","기대수명[세]","세","72.06","73.7","75.07",
"모로코","여자","기대수명[세]","세","74.7","76.3","77.54",
"모잠비크","합계","기대수명[세]","세","51.093","54.209","60.054",
"모잠비크","남자","기대수명[세]","세","48.8","51.49","57.01",
"모잠비크","여자","기대수명[세]","세","53.29","56.79","62.85",
"나이지리아","합계","기대수명[세]","세","49.76","51.95","54.176",
"나이지리아","남자","기대수명[세]","세","49.04","51.17","53.3",
"나이지리아","여자","기대수명[세]","세","50.5","52.76","55.08",
"르완다","합계","기대수명[세]","세","60.028","65.79","68.438",
"르완다","남자","기대수명[세]","세","58.49","63.85","66.27",
"르완다","여자","기대수명[세]","세","61.49","67.64","70.51",
"세네갈","합계","기대수명[세]","세","62.546","65.743","67.47",
"세네갈","남자","기대수명[세]","세","61.08","63.82","65.32",
"세네갈","여자","기대수명[세]","세","63.92","67.52","69.42",
"소말리아","합계","기대수명[세]","세","53.18","54.856","56.941",
"소말리아","남자","기대수명[세]","세","51.65","53.28","55.29",
"소말리아","여자","기대수명[세]","세","54.8","56.51","58.66",
"남아프리카공화국","합계","기대수명[세]","세","54.701","60.952","63.615",
"남아프리카공화국","남자","기대수명[세]","세","52.27","57.81","60.24",
"남아프리카공화국","여자","기대수명[세]","세","57.26","64.24","67.14",
"수단","합계","기대수명[세]","세","61.624","63.757","64.948",
"수단","남자","기대수명[세]","세","59.81","62.07","63.13",
"수단","여자","기대수명[세]","세","63.5","65.48","66.8",
"탄자니아","합계","기대수명[세]","세","56.288","60.914","64.842",
"탄자니아","남자","기대수명[세]","세","54.84","58.75","63.04",
"탄자니아","여자","기대수명[세]","세","57.68","63.09","66.6",
"튀니지","합계","기대수명[세]","세","74.634","75.452","76.412",
"튀니지","남자","기대수명[세]","세","72.3","73.4","74.39",
"튀니지","여자","기대수명[세]","세","77.19","77.59","78.46",
"우간다","합계","기대수명[세]","세","54.409","59.46","62.756",
"우간다","남자","기대수명[세]","세","52.52","57.66","60.42",
"우간다","여자","기대수명[세]","세","56.2","61.14","64.97",
"잠비아","합계","기대수명[세]","세","51.75","59.291","63.258",
"잠비아","남자","기대수명[세]","세","49.57","57.03","60.26",
"잠비아","여자","기대수명[세]","세","53.95","61.46","66.22",
"짐바브웨","합계","기대수명[세]","세","45.017","56.71","60.833",
"짐바브웨","남자","기대수명[세]","세","43.34","54.88","59.16",
"짐바브웨","여자","기대수명[세]","세","46.68","58.26","62.22",
"오스트레일리아","합계","기대수명[세]","세","81.476","82.363","83.199",
"오스트레일리아","남자","기대수명[세]","세","79.19","80.28","81.21",
"오스트레일리아","여자","기대수명[세]","세","83.77","84.45","85.22",
"피지","합계","기대수명[세]","세","66.381","66.947","67.273",
"피지","남자","기대수명[세]","세","64.91","65.42","65.6",
"피지","여자","기대수명[세]","세","67.98","68.6","69.08",
"뉴질랜드","합계","기대수명[세]","세","80.32","81.321","82.063",
"뉴질랜드","남자","기대수명[세]","세","78.27","79.5","80.3",
"뉴질랜드","여자","기대수명[세]","세","82.31","83.11","83.8",
"파푸아뉴기니","합계","기대수명[세]","세","61.317","62.728","64.151",
"파푸아뉴기니","남자","기대수명[세]","세","59.99","61.42","62.94",
"파푸아뉴기니","여자","기대수명[세]","세","62.73","64.13","65.45",
