"CountryCode","C1_School_closing","C2_Workplace_closing","C3_Cancel_public_events","C4_Restrictions_on_gatherings","C5_Close_public_transport","C6_Stay_at_home_requirements","C7_Restrictions_on_internal_movement","C8_International_travel_controls","E1_Income_support","E2_Debt_contract_relief","H1_Public_information_campaigns","H2_Testing_policy","H3_Contact_tracing","StringencyIndex","Days","Government","Nationwide_ConfirmedCases","Nationwide_DailyConfirmed","Capital_ConfirmedCases","Capital_DailyConfirmed","NonCapital_ConfirmedCases","NonCapital_DailyConfirmed"
"KOR",1,1,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"82.41",78,2,9962,40,1223,20,8739,20
"KOR",1,1,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"82.41",79,2,9995,33,1237,14,8758,19
"KOR",1,1,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"82.41",80,2,10034,39,1258,21,8776,18
"KOR",1,1,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"82.41",81,2,10063,29,1280,22,8783,7
"KOR",1,1,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"82.41",82,2,10086,23,1295,15,8791,8
"KOR",1,1,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"82.41",83,2,10110,24,1308,13,8802,11
"KOR",1,1,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"82.41",84,2,10124,14,1316,8,8808,6
"KOR",1,1,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"82.41",85,2,10143,19,1328,12,8815,7
"KOR",1,1,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"82.41",86,2,10163,20,1339,11,8824,9
"KOR",1,1,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"82.41",87,2,10185,22,1350,11,8835,11
"KOR",1,1,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"82.41",88,2,10203,18,1356,6,8847,12
"KOR",1,1,1,1,0,0.75,1,0.8,0.666666666666667,0.5,1,1,1,"82.41",89,2,10214,11,1360,4,8854,7
"KOR",1,1,1,1,0,0.5,0.666666666666667,0.8,0.666666666666667,0.5,1,1,1,"73.15",90,2,10228,14,1366,6,8862,8
"KOR",1,1,1,1,0,0.5,0.666666666666667,0.8,0.666666666666667,0.5,1,1,1,"73.15",91,2,10234,6,1369,3,8865,3
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",92,1.5,10243,9,1372,3,8871,6
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",93,1.5,10249,6,1376,4,8873,2
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",94,1.5,10258,9,1378,2,8880,7
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",95,1.5,10264,6,1379,1,8885,5
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",96,1.5,10269,5,1380,1,8889,4
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",97,1.5,10275,6,1383,3,8892,3
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",98,1.5,10284,9,1389,6,8895,3
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",99,1.5,10289,5,1392,3,8897,2
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",100,1.5,10300,11,1400,8,8900,3
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",101,1.5,10306,6,1402,2,8904,4
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",102,1.5,10306,0,1402,0,8904,0
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",103,1.5,10311,5,1406,4,8905,1
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",104,1.5,10314,3,1408,2,8906,1
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",105,1.5,10322,8,1412,4,8910,4
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",106,1.5,10326,4,1414,2,8912,2
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",107,1.5,10327,1,1415,1,8912,0
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",108,1,10327,0,1415,0,8912,0
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",109,1,10330,3,1416,1,8914,2
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",110,1,10339,9,1418,2,8921,7
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",111,1,10357,18,1435,17,8922,1
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",112,1,10384,27,1458,23,8926,4
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",113,1,10416,32,1485,27,8931,5
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",114,1,10442,26,1506,21,8936,5
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",115,1,10467,25,1522,16,8945,9
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",116,1,10496,29,1544,22,8952,7
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",117,1,10522,26,1566,22,8956,4
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",118,1,10533,11,1575,9,8958,2
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",119,1,10542,9,1580,5,8962,4
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",120,1,10550,8,1584,4,8966,4
"KOR",1,0.75,0.666666666666667,0,0,0,0,0.8,0.666666666666667,0.5,1,1,1,"43.52",121,1,10563,13,1593,9,8970,4
