Country,"Country
Code","Max 
 Cases",Logistic,,,Bertalanffy,,,Gompertz,,,Poisson,,,Second Wave,Infection Decreasing,,fit_logit,fit_bert,fit_gomp,nfit
,,,a,b,c,a,b,c,a,b,c,log_a,b,c,,,,,,,
United_Republic_of_Tanzania,TZA,509,511,8.121,0.217,513,0.154,202.293,513,203.638,0.155,,,,,,,1,1,1,3
Taiwan,CNG1925,455,441,8.721,0.134,444,0.098,385.397,444,386.131,0.098,,,,,,,1,1,1,3
Vietnam,VNM,408,329,5.603,0.086,338,0.054,23.382,338,26.140,0.055,,,,,,,1,1,1,3
Mauritius,MUS,343,336,3.101,0.233,337,0.148,4.090,337,5.206,0.159,,,,,,,1,1,1,3
Myanmar,MMR,343,310,2.351,0.052,405,0.017,1.438,333,3.223,0.033,,,,,,,1,1,1,3
Comoros,COM,337,350,3.459,0.082,563,0.024,2.510,434,4.989,0.041,,,,,,,1,1,1,3
Isle_of_Man,IMN,336,333,3.523,0.186,336,0.119,5.728,336,7.005,0.126,,,,,,,1,1,1,3
Guam,GUM,332,NA,NA,NA,NA,NA,NA,3251,3.864,0.004,,,,,,,0,0,1,1
Jersey,JEY,331,310,2.628,0.134,315,0.078,2.599,313,3.978,0.092,,,,,,,1,1,1,3
,,,,,,,,,,,,,,,,,,149/163,115/163,139/163,414/627
,,,,,,,,,,,,,,,,,,,,,
Measure,,"Max 
 Cases",Logistic,,,Bertalanffy,,,Gompertz,,,Poisson,,,,,,,,,
,,,a,b,c,a,b,c,a,b,c,log_a,b,c,,,,,,,
min,,3,310,1.666,0.022,315,0.002,0.880,313,2.210,0.004,0,0,0,,,,,,,
max,,1839850,3040427,42.272,0.653,508205622,0.159,1770.461,950893036,1775.084,0.159,0,0,0,,,,,,,
mean,,60934,117958,5.981,0.082,4658914,0.046,58.936,8257996,52.784,0.043,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
sd,,272576,387926,3.850,0.062,47377342,0.033,205.000,81154471,187.769,0.033,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
