"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","MSE","MAPE","MSSE"
"Lebanon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Libya",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",3849.07027726767,3.01371956543252,0.155976413994877,3829.12377435872,5.47306917799246,0.102151516678952,246.912125668005,147.315250612155,0.107190029385274
"Madagascar",15669.1959335275,9.10872679394053,0.0788863472580702,NA,NA,NA,749.493502004382,0.395713562009557,0.0803326113089938
"Malawi",427.70190620594,7.27192189807971,0.291518417409411,5118.53603350384,3.60000243099806,0.0826306605994579,114.002178448345,37.1644732510414,0.0598859434719877
"Malaysia",6372.36745497995,3.92172391530884,0.114898877895864,2242.54436114649,2.12430408960097,0.0925023999039055,426.798666071371,367.862513492881,0.291811296241925
"Maldives",2220.35781848821,3.03902868224644,0.0912608695255882,6468.64827075479,4.32917389334487,0.0849783829153981,329.989721189555,32.2306688340507,0.116498391668805
"Mauritania",6640.63805012718,3.90539999082638,0.0898039983531583,NA,NA,NA,600.244012249569,0.351440746499516,0.137174253543216
"Mexico",718780.185411012,5.01330940463023,0.039251698266122,NA,NA,NA,227575.794407182,0.525519742547823,0.0170530178858153
"Moldova",30054.5103370045,3.79865833950731,0.0376742891954184,21681.2823941573,2.96867715994066,0.0786938581702045,4187.34878283471,25.2893202278359,0.0712598427095329
"Montenegro",5040.46267558163,9.0827620646087,0.0713062487457606,555.132622618871,3.02266764825039,0.436555221630563,251.17494038076,7.03967105934787,0.310253277146912
"Morocco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique",8769.40772242072,4.71920314929412,0.0335943508415599,NA,NA,NA,56.9683673856668,0.326353824342431,0.0722312212268415
"Namibia",19752.6454193056,4.65207532089204,0.0557436415212929,NA,NA,NA,331.150414784798,NA,NA
"Nepal",18780.2084778737,6.64113806443501,0.109750681090919,30689.6466789611,4.13204231486665,0.101907775056626,8429.3514691699,26.4487714932465,0.0727106480627654
"Netherlands",47727.8071784663,3.85016670563058,0.0919973374507281,21992.496313686,4.71971241709998,0.110343070045197,12452.2385442806,102.386049396104,0.0792532880085373
"New_Zealand",1117.48726020023,3.30215982569191,0.234551303089185,NA,NA,NA,22.3898673192859,0.27655454444112,0.0959221595281074
"Nicaragua",4483.44093472325,2.04354460773163,0.0493766346000076,NA,NA,NA,436.889717306924,0.313200016136179,0.224993615581034
"Nigeria",56771.2221281843,4.75966216461731,0.0449158440649143,NA,NA,NA,3212.90447982316,0.32878911007333,0.0283167623196692
"North_Macedonia",1555.49693189552,3.47414449763082,0.132002605678347,12680.0331081976,3.8436252847477,0.0549118199530705,631.394095682485,49.9911640922995,0.0639384194704219
"Norway",8479.51645538716,3.25779242293696,0.102251395196593,1761.77276453855,4.5090469273626,0.130032870679083,637.100469546876,123.632841988332,0.152152526786445
"Oman",89246.7308608265,6.59576603082336,0.0616032745035039,NA,NA,NA,24120.7859474323,0.289770298614789,0.0878255177485162
"Pakistan",294439.852745752,6.15666896853228,0.064753546588621,NA,NA,NA,153822.410188256,0.204590521034866,0.0493373961865621
"Palestine",30248.6667796715,9.10840807439472,0.06686582659546,NA,NA,NA,4588.59441904092,1.73291135704313,0.161256305910182
"Panama",117314.240460061,4.90293340703532,0.0363505301710745,NA,NA,NA,5565.36623334655,0.24573427503762,0.019240323244329
"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peru",314970.574114863,5.448147906809,0.0677287334446631,452678.715146389,3.26890952629475,0.072676610370644,642357.689486977,27.0794270750437,0.0344783425326692
"Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poland",37617.4235866156,3.25682623884166,0.0471250496734557,37253.0129399985,3.37483990349256,0.0810057560819358,9299.88753435327,32.5013157670028,0.0678458936857372
"Portugal",27725.1865335251,3.97064591517741,0.118528767142147,24053.6837654313,2.78475693695627,0.0662819590387275,8919.34232475823,77.1330071901292,0.0623589495769
"Puerto_Rico",13037.7158425127,3.55941695117196,0.03980685074741,30810.2793766681,3.92462813469715,0.0771480494976114,2149.29932525349,NA,NA
"Qatar",114154.267292777,5.3172843806821,0.0616948721178752,NA,NA,NA,13665.0685171287,0.524740057341167,0.029081576355136
"Romania",18736.0511667806,3.8729924588474,0.0866811386200089,88300.016656995,4.31764747807474,0.0574572537428299,11020.290867131,37.0971871531478,0.0456482504375787
"Russia",944933.454667436,4.05246411089899,0.0441171971986914,NA,NA,NA,4061456.28554503,3.04433472022446,0.121845211508201
"Rwanda",8246.74641884138,4.91884452105463,0.0283398170644683,NA,NA,NA,381.851289500611,NA,NA
"Saudi_Arabia",320470.679149821,5.02174752535185,0.0474217765446081,NA,NA,NA,127370.530037901,0.573655040185434,0.0383095775844517
"Senegal",14520.3696090501,3.89858771921181,0.0356318065372929,NA,NA,NA,580.850013686664,0.315427320187848,0.0869484477481299
"Serbia",10889.8005601703,4.66585041266826,0.124963651968512,20573.9985206329,4.33789292122729,0.0792467764662411,806.841758818361,69.8439816599148,0.0280514328749435
"Singapore",43064.6196002967,6.94924746201565,0.0762906518719738,12182.6843407,3.22597074849485,0.131881853272505,13307.0659889617,97.2284294233418,0.147922827108534
"Slovakia",1502.3265005338,3.63740039036125,0.118488202635454,5628.87598293564,4.93847329230051,0.049289430567232,72.0310720033902,99.9185969806194,0.152010967580312
"South_Africa",657770.326448397,8.8675898512482,0.0696829630514636,NA,NA,NA,223121.389870336,0.237329979768954,0.0164882509127993
"South_Korea",10142.9509515076,3.16748584276851,0.173711533827765,NA,NA,NA,7991.9871352284,0.69152251222621,0.332919713057651
"South_Sudan",2034.91593925162,3.93510093385411,0.125360120851585,357.710267361748,3.24452722648779,0.193640264935091,116.422942714902,159.706788008171,0.193904478911815
"Spain",232080.135796135,4.59931974593357,0.120581490106236,519212.750553101,5.82984972408481,0.0645942635834729,786987.0605739,157.492087867703,0.140469672642653
"Sudan",11334.2557770481,3.71127474946188,0.0706342103593566,1447.26916303582,3.24255457634737,0.205798014458219,1154.93818536206,0.323942012929196,0.101032641762067
"Suriname",6441.65153533983,4.34386443418478,0.0529102596645255,NA,NA,NA,72.0747143459206,0.209116174307768,0.0398743374640334
"Sweden",88955.5932255665,3.69965412898005,0.038755659093008,9247.84295137589,2.92677704992755,0.146109283710612,24819.3778717297,69.9403592018558,0.0962555009077098
"Switzerland",30089.0579553724,4.35513562638661,0.142082420157311,16542.9812743938,4.37653176360334,0.0533575077842334,4166.56316588926,NA,NA
"Syria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tajikistan",7809.65480825055,2.28296136612556,0.0595705151743768,NA,NA,NA,1441.30429280516,0.454159618559686,0.287684194060238
"Thailand",3129.16359267954,4.0436589763584,0.136293071389328,NA,NA,NA,147.915664594656,0.729104308821853,0.409843134985318
"Trinidad_and_Tobago",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tunisia",994.488782307575,2.95920946743632,0.143181646763661,NA,NA,NA,29.4472424679642,0.23477740131752,0.0916382652659458
"Turkey",198450.681182599,2.90241871587261,0.0637886849909334,50313.2161054732,2.80693022363613,0.112783460267835,726564.1633566,50.8039236715398,0.254081266891752
"Uganda",1077.76493226337,5.67106646472709,0.0898385760771215,NA,NA,NA,26.1922823266366,0.42296548453318,0.229970882357476
"Ukraine",202168.360449285,3.93704390171783,0.0251573097554323,NA,NA,NA,54103.4112951644,0.377712198063483,0.108398249959259
"United_Arab_Emirates",60073.5282256385,4.26896502750081,0.0513902267378403,8839.08613635949,3.07646667165311,0.181812957118359,13333.97733314,31.1589803766886,0.0853127113692296
"United_Kingdom",277495.868018256,4.2223841819939,0.0741797774400334,56759.8380162812,2.96752279616272,0.0747313532884831,267456.2203669,117.365673173632,0.0734508745362931
"United_States_of_America",1683559.94877514,5.28035982039362,0.0845618812227432,4524205.49687951,3.50898571752197,0.061365787047869,39365140.6883058,48.6046509002445,0.0656212145052999
"Uzbekistan",71894.2449564232,5.87370598147299,0.0389586041418682,NA,NA,NA,5914.1239700812,0.300750390033738,0.0909938568211767
"Venezuela",101429.752555045,7.4504344422118,0.0446453608548227,NA,NA,NA,7496.661901423,0.409985556452352,0.104518857649491
"Zambia",25961.2028942601,6.11227403369392,0.0440573649702894,NA,NA,NA,2098.67315706258,0.778868460306047,0.287104139461342
"Zimbabwe",7030.48681601319,6.17921965766012,0.080457765730732,NA,NA,NA,522.939191783354,0.4415184403777,0.136926078067243
