"","(Intercept)","Day_1","log(Day)_1","Day_2","log(Day)_2","psi","(Intercept)_s","Day_1","log(Day)_1_s","Day_2_s","log(Day)_2_s","psi_s"
"Holy_See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras",1.76080912267685,0.0478694606921333,-0.0405937952656987,-0.0510357560964905,-0.00698837868010476,107,-19.2782425315635,-0.383253443985834,9.84858943710028,0.31337192582847,-0.262645011099097,39
"Hungary",-6.48870324651376,-0.0927166659754045,3.91701827258746,0.134564314706661,-0.154901006880592,120,-9.28819997398913,-0.102678368741101,4.76882675745465,0.115051733687755,-0.0581792116730247,118
"Iceland",-12.0087041767318,-0.257640691745636,6.96240758190182,0.248051323288181,-0.0404755462025268,82,-17.7664187415836,-0.282534313378747,8.8688842925606,0.266577623655287,-0.0771041291657823,87
"India",-46.3034847085967,-0.0899616096202207,13.7664152649343,0.0358690212772537,-0.00641832568928792,134,-49.345363302362,-0.0907584573432132,14.4000392909962,0.0346158372994624,0.00266976138166991,139
"Indonesia",-2.10555842197445,-0.0414697390232612,2.54981763647087,0.0345502910220355,-0.0216595027542294,58,-4.7871672630905,-0.0531767952954733,3.37519427499083,0.0398290957914335,-0.0236439843226064,64
"Iran",-4.55795273405947,-0.106456596603259,4.4437394135272,0.0748604155487773,-0.0264164148456317,68,-7.44497368638378,-0.11360785673385,5.28473356136119,0.0766824653750813,-0.0297027128005508,73
"Iraq",-23.6066020325,-0.307072864513616,10.7210990317146,0.249007570620591,0.0464284771857108,56,-28.2031459347061,-0.303089661588485,11.9416469580443,0.23922415675195,-0.0178388539457501,60
"Ireland",-15.0070732115826,-0.177156730098859,7.68640591991312,0.171070622935403,-0.0382841057343015,111,-19.5492770379902,-0.188667507530081,9.00616791000667,0.180372644344688,-0.0930002330847486,115
"Isle_of_Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Israel",-48.8493858876037,-0.47059692118799,19.9745213612637,0.35515516753071,-0.0442676466959671,76,-55.8169509998284,-0.468051772423979,21.7696978342046,0.344574144533184,-0.0372141711324168,81
"Italy",-25.7292443593046,-0.166834325042728,10.7519583880567,0.145280598146177,-0.198021491883166,136,-30.9064858308116,-0.177083464574666,12.1445181615839,0.141200805529209,-0.192530086896168,137
"Jamaica",-2.01974499724098,-0.0298394568093241,1.45286243103219,0.137176201746097,-0.160855041634071,134,-2.66566964472579,-0.0330500935823165,1.65777510398408,0.125918489380909,-0.174066494899249,133
"Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan",2.03702710556986,-0.00555157967224754,0.141142226085429,0.0866346691542542,-0.0122900435238907,145,1.32736852967243,-0.00866706339495578,0.369556569254499,0.0975111971694583,-0.0317636002596516,149
"Kazakhstan",-43.1975648276007,-0.424012878270723,17.6606062306018,0.287744809180061,-0.162401586625162,60,-45.0138160280091,-0.387673702114289,17.7141165917456,0.256532679749635,-0.147103717945076,64
"Kenya",-28.8316694256336,-0.421173523282103,12.9478387740525,0.337139212041394,-0.470433839838111,46,-28.154436284486,-0.349089661108447,12.0656483988576,0.275424194478348,-0.352492581466216,50
"Kosovo",-21.0899473304814,-0.331997819850579,10.0705725219871,0.265539105166739,0.0706407821904545,56,-20.7149239639308,-0.282125286876684,9.48566127953767,0.224449796894955,0.0494726443311246,60
"Kuwait",2.95853969504831,0.0982306487065835,-0.864142946224343,-0.0947356523922822,-0.00192321960757906,78,2.37631119269689,0.093149122392845,-0.721672564174894,-0.0908635824376954,-0.00280081290031677,82
"Kyrgyzstan",6.00553554028489,0.1012466085639,-2.27382655513826,-0.111416649657371,-0.47444290670777,126,5.64182225741595,0.0936565466256034,-2.08937835375566,-0.100183766753907,-0.507331206656968,131
"Laos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia",-1.91092584038681,-0.0747709322736737,2.10829095506152,0.0763404250502668,0.0122840244692454,99,-3.58962176034038,-0.0804982845376191,2.6404919271427,0.0747448964056367,0.0324043837642625,102
"Lebanon",-0.463853534187179,-0.0170304448842486,1.03075735832374,0.0611718517796684,0.0193089946446602,110,-1.38227909398111,-0.0186255875818876,1.27745780071055,0.0639182004705879,-0.00589596734847745,115
"Lesotho",-0.326666518085877,0.189957430745703,-1.89072715452174,-0.196058143656678,0.229981319779942,59,1.47237934782153,0.193504839955331,-2.52766425201104,-0.185175346012006,0.173531050666914,63
"Liberia",-0.974228032580683,0.0185142444789429,0.427141285962604,-0.064852683915945,0.0108123190422525,111,-24.2126368994171,-0.258686264518567,9.78985596752314,0.162374928239424,0.0803639063539633,56
"Libya",1.51036029141362,0.0596918891708241,-0.842229217100514,-0.0514515902225907,0.0551778862521109,143,1.30799834931524,0.0584649186790394,-0.811387180507132,-0.049289021581596,0.0318282645351747,148
"Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania",-2.74750544810631,-0.0852505756969624,2.61084254861396,0.10645228699004,-0.0571782314975749,100,-5.04494267059709,-0.0942920004681226,3.34466441457844,0.112692726864332,-0.0933510592654677,103
"Luxembourg",-7.93755014689679,-0.264041525161192,6.00648493351025,0.233486696674713,-0.0102574214774835,59,-12.3075692683405,-0.274182353573546,7.42261023860426,0.236570860908383,-0.0233979066117551,65
"Madagascar",2.50063272022315,0.0615600634016795,-0.863003474921263,-0.118542193373501,0.117989900192347,125,2.34073570878315,0.0594459780600557,-0.826724651950733,-0.120235240797951,0.10658882410512,130
"Malawi",-1.28193681895412,0.0471975473546849,0.259397414988768,-0.0829313025938599,0.121831027446138,101,-0.130946273077384,0.0546656410775652,-0.185881531006751,-0.0804339547758007,0.0853791986203252,104
"Malaysia",-39.1552599550392,-0.188495624830841,13.4502017392892,0.0821666686004823,-0.101003852694278,105,-45.9117117495295,-0.2019870662485,15.2509672434171,0.0848837495752534,-0.0941385674193635,109
"Maldives",-27.1054179301672,-0.135717319932393,9.46726460983788,0.0988766095755634,0.0170517793690096,106,6.62521137580909,0.408111628131453,-6.04516033525772,-0.341315110786631,0.0683582431141276,53
"Mali",-0.204354483399869,-0.00132509892810476,0.906738525569272,-0.0296996412182418,-0.012792756287056,72,-0.879648473757707,-0.00255289790320298,1.07481530127212,-0.0307344966788721,-0.0448620712053524,79
"Malta",-1.31060173458621,-0.0594665104428792,1.61683009603546,0.0979236793093936,0.161907971762249,108,-2.42976829957745,-0.0616724415149819,1.95552669938067,0.108109335335513,0.154500357144887,116
"Mauritania",-2.76658275506056,0.0922593085281848,-0.193517185087348,-0.128244324528565,0.0345880953472819,97,-0.806066851712705,0.10312922924373,-0.918095370578672,-0.133942041654474,0.0593704932005895,100
"Mauritius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico",-9.97505872440562,-0.102177480232789,5.43448074561281,0.0652635884441926,-0.116666715024955,39,-13.3288995059571,-0.0644848442022502,5.92010579080043,0.0242602209320765,-0.0113102910818818,65
"Moldova",-2.82062250395006,-0.0416874598377577,2.48344639142377,0.0311932315119265,-0.0526912439937597,63,-4.21099363767376,-0.0419947793207774,2.83069265957333,0.0290492686457311,-0.0481190663071782,69
"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mongolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",-24.265336561186,-0.880652799574678,14.7050677120113,0.78156546781723,0.0267125043675309,40,-25.7743330911969,-0.735969309267189,14.3310012206661,0.642783008346007,0.0914240438108389,45
"Montserrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morocco",-7.66300308408396,-0.0972114184139857,4.46676594463374,0.0997789500302673,-0.027559147898376,84,-9.34521354852258,-0.0955909007067262,4.8724855947161,0.0985491569129956,-0.0594422033603573,89
"Mozambique",0.923572243259221,0.0685151391402759,-0.713452745674303,-0.0415391742250383,-0.0662125638596619,75,1.16531929675603,0.0700843561638594,-0.84573256473726,-0.0402721139700793,-0.0810905935363313,78
"Myanmar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Namibia",-18.3816199396157,-1.00025011540839,12.0254747935967,0.950557138108901,0.389765044327456,34,-12.9883747343297,-0.763501933588224,8.82195689037345,0.737479371887177,0.690774126534933,36
"Netherlands",-5.74516061366519,-0.108393745451772,4.56996909849829,0.114705202389443,-0.0791343406431821,109,-8.43711139902904,-0.114031720572625,5.33830606341669,0.120848817094277,-0.0874454245090788,115
"New_Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicaragua",-0.415037694031047,0.292296992353867,-3.60211075909775,-0.271977143605212,0.0134824351264368,70,3.98247782149835,0.306189852157006,-5.05113631268825,-0.277916874382319,0.191702523301509,72
"Niger",-9.68900070091551,-0.304457128024299,6.36168798000871,0.218552777754287,-0.231073699345159,41,-11.5618341445021,-0.263705107231587,6.63422365467476,0.178849804477498,-0.21884446519587,47
"Nigeria",-20.7662398430412,-0.103823782669944,7.86256757490596,0.0368589758948684,0.0187837558582669,72,-22.1542874747014,-0.0958790528861181,8.05189502810047,0.0300233594767786,0.021591532249036,77
"North_Macedonia",-20.967189737427,-0.29070181023983,9.79985939797296,0.214356690391474,0.0285631306170701,57,-23.832175177813,-0.273452379654007,10.4137761410516,0.195728617550144,0.0280778780571729,62
"Northern_Mariana_Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
