"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","startpoint","breakpoint"
"Seychelles",NA,NA,NA,NA,NA,NA,NA,NA
"Sierra_Leone",NA,NA,NA,NA,NA,NA,NA,NA
"Singapore",43326.847855614,6.74677171095841,0.0755175562809957,11749.7034898028,23.3458357333438,0.139069884128228,47,192
"Sint_Maarten",NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",1466.75531889155,3.4782841997281,0.12355786713814,5154.11534246096,8.74442521983731,0.0501012814444423,80,160
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA
"Somalia",3181.09451192488,2.63799884275855,0.0649996728156194,NA,NA,NA,110,NA
"South_Africa",658521.562954817,8.65023461728666,0.0695908431146242,NA,NA,NA,80,NA
"South_Korea",10201.6672102459,2.93583130945309,0.168945134683072,NA,NA,NA,53,125
"South_Sudan",2308.52363534963,3.00579550713919,0.0900455140786605,NA,NA,NA,130,NA
"Spain",233322.972613831,4.19228987481289,0.118764415509637,445660.144474889,12.7252093683458,0.0682557122011037,64,168
"Sri_Lanka",1203.37191180442,4.22040448057533,0.0956912940314687,1018.89035388413,17.4238636567772,0.248002108078476,84,138
"Sudan",11426.7486575617,3.54408949039342,0.069532663373255,1259.33346125989,29.8458060118605,0.241337094133542,113,224
"Suriname",6384.16197895729,4.26077709837911,0.053974245147165,NA,NA,NA,159,NA
"Sweden",87907.6911121753,3.6260013409151,0.0390820958800734,8421.63515840744,26.3895302586459,0.163365052738583,68,212
"Switzerland",30109.2985807687,4.06259911099787,0.141590933257772,15640.4169898612,9.27170607756461,0.0547892133642737,68,159
"Syria",NA,NA,NA,NA,NA,NA,141,NA
"Taiwan",NA,NA,NA,NA,NA,NA,NA,NA
"Tajikistan",7778.50673072712,2.2188296811566,0.059645025875009,NA,NA,NA,127,NA
"Thailand",3123.29939769907,3.49156043302148,0.135988591530258,NA,NA,NA,72,NA
"Timor_Leste",NA,NA,NA,NA,NA,NA,NA,NA
"Togo",NA,NA,NA,NA,NA,NA,NA,NA
"Trinidad_and_Tobago",NA,NA,NA,NA,NA,NA,89,NA
"Tunisia",981.226786257357,2.56677308535328,0.141657593047422,NA,NA,NA,85,143
"Turkey",201521.705277426,2.77378343811092,0.0612105985993635,44847.429011634,19.4433759016188,0.127941837397887,80,210
"Turks_and_Caicos_islands",NA,NA,NA,NA,NA,NA,NA,NA
"Uganda",1087.32268565598,5.39296032690515,0.0886959051005337,NA,NA,NA,101,207
"Ukraine",NA,NA,NA,NA,NA,NA,87,NA
"United_Arab_Emirates",60675.2269932405,4.13236000189155,0.0506137778180799,7342.80114583568,37.2250185269995,0.224602933469096,73,225
"United_Kingdom",279224.052839498,4.03857263115498,0.073178616037002,50638.5242315066,14.0858551198073,0.0847831936756856,66,197
"United_Republic_of_Tanzania",NA,NA,NA,NA,NA,NA,NA,NA
"United_States_of_America",1757172.87375595,4.80680385505906,0.0803191107390448,4340551.82665691,9.7085474053885,0.0651174044025602,61,157
"United_States_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",74338.3995480765,5.79726945775011,0.0385686009385655,NA,NA,NA,88,NA
"Venezuela",NA,NA,NA,NA,NA,NA,87,NA
"Vietnam",NA,NA,NA,NA,NA,NA,NA,NA
"Western_Sahara",NA,NA,NA,NA,NA,NA,181,NA
"Yemen",1847.47928663329,2.97384256830738,0.0667051020632782,NA,NA,NA,137,245
"Zambia",28300.063301891,6.05145625069959,0.0432488133127721,NA,NA,NA,112,NA
"Zimbabwe",6993.9871087601,5.97254041856328,0.0810444921302839,NA,NA,NA,147,NA
