"","a1_Gom","b1_Gom","c1_Gom","a2_Gom","b2_Gom","c2_Gom","startpoint","breakpoint"
"Poland",48133.3049336744,4.30420714463633,0.0227834454313426,NA,NA,NA,77,192
"Portugal",30235.0030137905,6.53359510024955,0.0687140204557388,29374.752063369,36.4885857807179,0.0334450138339304,75,145
"Puerto_Rico",57155.1913620235,5.18417546452355,0.0100385307069959,47390.5495309917,87.1249067009225,0.0320592752396008,92,179
"Qatar",120046.149436918,18.2904983767517,0.0378233013815634,NA,NA,NA,73,NA
"Romania",21683.8825109063,5.91955822111768,0.0462692165876237,202518.193551901,26.9797285075407,0.0186522042621148,76,157
"Russia",1053516.69478886,7.04664888156417,0.0248549971015313,NA,NA,NA,79,NA
"Rwanda",NA,NA,NA,NA,NA,NA,NA,NA
"Saint_Kitts_and_Nevis",NA,NA,NA,NA,NA,NA,NA,NA
"Saint_Lucia",NA,NA,NA,NA,NA,NA,NA,NA
"Saint_Vincent_and_the_Grenadines",NA,NA,NA,NA,NA,NA,NA,NA
"San_Marino",NA,NA,NA,NA,NA,NA,NA,NA
"Sao_Tome_and_Principe",NA,NA,NA,NA,NA,NA,NA,NA
"Saudi_Arabia",376501.993380568,10.2478502127157,0.0243370742753515,NA,NA,NA,77,NA
"Senegal",19624.4563074697,5.67455908071948,0.0162189008166653,NA,NA,NA,85,NA
"Serbia",11545.1948470485,9.59117254654831,0.0754554602139238,24108.4115723832,174.630571436487,0.0413928920351698,80,157
"Seychelles",NA,NA,NA,NA,NA,NA,NA,NA
"Sierra_Leone",NA,NA,NA,NA,NA,NA,NA,NA
"Singapore",46689.4334033642,40.4601837047916,0.0449032408996389,NA,NA,NA,47,192
"Sint_Maarten",NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",1516.47905490173,6.04842078004775,0.0778714633281963,54779.0794400391,16.5904417390727,0.00974285259476915,80,160
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA
"Somalia",3279.73742015315,3.81098247594285,0.042637136113942,NA,NA,NA,110,NA
"South_Africa",796356.429436788,64.8642569868001,0.0346542721446682,NA,NA,NA,80,NA
"South_Korea",10403.5337044071,4.79916489297308,0.113011954082548,5615830.93497963,12.2481719664816,0.00310741571193638,53,125
"South_Sudan",2378.28872301605,4.81434613464201,0.0584032873269432,NA,NA,NA,130,NA
"Spain",238783.967133667,10.3338881319132,0.0776022922613414,NA,NA,NA,64,168
"Sri_Lanka",4082.99412239249,5.83211982176437,0.0249279383956143,1064.70550404357,35879.5652162493,0.154429789654195,84,138
"Sudan",12369.2167508031,5.92351151503233,0.0408323488972235,NA,NA,NA,113,224
"Suriname",30079.7277861159,6.27862192976966,0.0130034815620231,NA,NA,NA,159,NA
"Sweden",118379.501183853,5.1014350933727,0.0176893338782654,NA,NA,NA,68,212
"Switzerland",30675.221838539,9.66901780263885,0.0936392126670798,NA,NA,NA,68,159
"Syria",NA,NA,NA,NA,NA,NA,NA,NA
"Taiwan",NA,NA,NA,NA,NA,NA,NA,NA
"Tajikistan",8090.95258052418,3.09123642024442,0.0400867381182118,NA,NA,NA,127,NA
"Thailand",3147.68636739665,6.61404656346157,0.0900511201791477,NA,NA,NA,72,NA
"Timor_Leste",NA,NA,NA,NA,NA,NA,NA,NA
"Togo",NA,NA,NA,NA,NA,NA,NA,NA
"Trinidad_and_Tobago",NA,NA,NA,NA,NA,NA,NA,NA
"Tunisia",1013.78701177572,3.72305954694973,0.0938178202130147,NA,NA,NA,85,143
"Turkey",210927.603247923,4.21838097969179,0.0395538955779355,60221.8459651687,8650.06617606419,0.0597519849345808,80,210
"Turks_and_Caicos_islands",NA,NA,NA,NA,NA,NA,NA,NA
"Uganda",1189.97768810124,17.1625135163724,0.0513338801145421,NA,NA,NA,101,207
"Ukraine",691541.831735823,5.58181122189287,0.00687986318626722,NA,NA,NA,87,NA
"United_Arab_Emirates",67968.3911286228,7.75410844524506,0.0281077488893896,NA,NA,NA,73,225
"United_Kingdom",292170.949216282,8.58692019339722,0.0455788612086793,NA,NA,NA,66,197
"United_Republic_of_Tanzania",NA,NA,NA,NA,NA,NA,NA,NA
"United_States_of_America",2058204.27335319,10.3948110018327,0.0421849291020593,5588983.84192953,92.9974444095647,0.0308024471520449,61,157
"United_States_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",1097376.59552172,9.20636713729553,0.00666146411662314,NA,NA,NA,NA,NA
"Venezuela",5522305.0553314,12.845166375593,0.0061840030907816,NA,NA,NA,NA,NA
"Vietnam",NA,NA,NA,NA,NA,NA,NA,NA
"Western_Sahara",NA,NA,NA,NA,NA,NA,NA,NA
"Yemen",1980.10626928102,4.39390540196012,0.0403372654702585,NA,NA,NA,137,245
"Zambia",NA,NA,NA,NA,NA,NA,NA,NA
"Zimbabwe",10382.8006858408,12.8794181659365,0.0333693629508745,NA,NA,NA,147,NA
