"X.Samples","Explanatory","Res_Type","a1_Logi","b1_Logi","c1_Logi","a1_Gom","b1_Gom","c1_Gom","a2_Logi","b2_Logi","c2_Logi","a2_Gom","b2_Gom","c2_Gom"
49,"Travel_out2017","Coefficient",280734.84889092,3.16275558912467,-0.048280976662224,-271880.18049784,8.06780522932709,0.0771876867133562,40120.4056901158,10.6192980394121,0.087605768407415,-21625.9955488508,-108752.927868427,0.0125587924717349
49,"Travel_out2017","R-square",0.934690144754049,0.502612044171514,0.574009652487937,0.996976137870063,0.696597177220005,0.58332441428327,0.999950169313481,0.295817091298317,0.428059631324484,0.999731197361897,0.623018831429713,0.492838842825838
49,"Travel_out2017","P-value",5.95487567583919e-08,0.651870417064583,0.380283474429891,2.35023433285855e-21,0.0652308660465785,0.35580925098702,1.43151106424434e-21,0.972859390245318,0.826567489778361,1.54266578924824e-14,0.380539078023507,0.701255038413929
145,"AgingIndex2020","Coefficient",-547.493070007702,-0.00757588248999404,1.80993621707387e-05,-4824.65794827311,-0.988753866720112,5.04811950457504e-05,833.959576650787,-0.0196850922942058,-0.000511702122324838,3307.32932096521,-3265.29440977137,-0.000331875163010585
145,"AgingIndex2020","R-square",0.00157157380577371,0.0234338148140623,0.000183846974229765,0.00168867000591341,0.0081061326038637,0.00232345454364244,0.00795547203205594,0.0173313025296937,0.128931921088884,0.0227067368468265,0.0247768319300175,0.132155638328834
145,"AgingIndex2020","P-value",0.635913251483172,0.0660276396440679,0.871410981038471,0.627277914273519,0.286621403501563,0.568914976819353,0.469486158913674,0.284556464660895,0.00263795044927938,0.258863325419229,0.237980143806287,0.00503204431310444
141,"GDPperP2019","Coefficient",-1.44752224828316,-1.65515119871592e-05,1.64154434316952e-07,-19.9048238799616,-0.00227841713559968,2.34520294049704e-07,5.71938907165605,0.00025083044591562,2.22558155435043e-06,8.57641023951432,4.64990820437716,-2.71323341546047e-07
141,"GDPperP2019","R-square",0.00179852769841223,0.0295158637438213,0.00248577087350501,0.00473688868235259,0.00709365039491105,0.00821660338969796,0.0567453439911894,0.0145929038088245,0.0066459688086199,0.0255087677237633,0.00839807533454836,0.0153062731112694
141,"GDPperP2019","P-value",0.617552799971663,0.0416454609857466,0.55712283827649,0.420783177692071,0.324245971387533,0.288585223811229,0.0522333235410278,0.330174053241195,0.511934707262122,0.23967318348863,0.501757615356895,0.363645783544365
145,"BirthRate2020","Coefficient",-58348.417724352,0.0152546431007077,0.00626867141986697,-240440.905328368,36.8946405140474,0.00444187828678044,-40947.9071160964,0.157758345378222,0.0151586178331442,-143590.69469682,-42863.7893955887,0.0101943377300974
145,"BirthRate2020","R-square",0.0115096884521337,6.12644458015597e-05,0.014220302366424,0.00272153478744693,0.00732401675562351,0.0116733009600317,0.00970830440908996,0.000563436517774644,0.0572729085358104,0.0201243243040619,0.00200747931755853,0.0586304324277266
145,"BirthRate2020","P-value",0.199005472696148,0.925556261758686,0.153112967459292,0.537509907514525,0.311225245500691,0.200597222165373,0.424064670483891,0.847634985652996,0.0493518306987464,0.288126596211549,0.738406923475447,0.0670594668758525
