"","country","current_state","max_spread","max_suppression","control_index","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"27","China",0.0487520934151695,204.487381702592,260.738324989569,0.784262849394206,1,1,45,NA,NA,NA,NA,4,NA,NA,NA,NA
"28","Colombia",33.5133022789405,229.894615531639,172.692923256303,1.33123356300153,1,1,232,NA,NA,NA,NA,81,NA,NA,NA,NA
"29","Congo",11.311461251149,4.97885997748328,2.72137870227698,1.82953587948545,2,2,202,252,NA,NA,NA,103,236,NA,NA,NA
"30","Costa_Rica",58.9290417694012,19.2898140389163,1.0061107621924,19.1726545066292,0,1,NA,NA,NA,NA,NA,82,NA,NA,NA,NA
"31","Cote_dIvoire",7.28979837387972,11.4527858909233,9.69677032219536,1.18109282888845,1,2,178,NA,NA,NA,NA,89,235,NA,NA,NA
"32","Croatia",21.5440903630425,11.682073816726,2.58457710842555,4.51991692514928,3,3,96,202,249,NA,NA,81,160,220,NA,NA
"33","Cuba",18.6569099747663,2.63844232564118,1.86262432344281,1.41651877538267,3,4,112,159,232,NA,NA,89,148,185,244,NA
"34","Czechia",23.0943411017901,35.6388419209065,9.76725087029681,3.64880992555314,1,2,96,NA,NA,NA,NA,74,158,NA,NA,NA
"35","Democratic_Republic_of_the_Congo",6.98806309670687,3.9447576683374,4.39702920902664,0.897141565545943,1,1,179,NA,NA,NA,NA,91,NA,NA,NA,NA
"36","Denmark",14.3621370393396,13.7343969109934,8.48868685613417,1.61796484471194,1,2,101,NA,NA,NA,NA,72,194,NA,NA,NA
"37","Djibouti",0.0845747363812841,8.39938376178753,9.15819414516267,0.917144103810473,2,3,112,155,NA,NA,NA,100,130,253,NA,NA
"38","Dominican_Republic",24.717624824009,27.7600472076037,34.1089719448512,0.813863497630106,1,2,213,NA,NA,NA,NA,84,247,NA,NA,NA
"39","Ecuador",8.19243532424266,101.600149286601,88.0386598235899,1.15404016247164,2,2,124,229,NA,NA,NA,80,156,NA,NA,NA
"40","Egypt",3.46743908930545,47.6352938054463,39.0019105095737,1.22135795870188,1,1,174,NA,NA,NA,NA,75,NA,NA,NA,NA
