"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","startpoint","breakpoint"
"Palestine",59124.893061285,7.04741480083327,0.0434360160623107,NA,NA,NA,85,NA
"Panama",118545.439417735,4.8114507954148,0.0360141934321605,NA,NA,NA,80,NA
"Papua_New_Guinea",NA,NA,NA,NA,NA,NA,NA,NA
"Paraguay",160133.598898242,8.39081989503171,0.0398854272842382,NA,NA,NA,NA,NA
"Peru",319744.496664185,5.2797457936573,0.0668469723291899,505299.633233401,10.8173867232967,0.0685275771682983,79,190
"Philippines",419242.962032278,6.51180287278927,0.0376885195757862,NA,NA,NA,NA,NA
"Poland",38439.2225642976,3.14587713112953,0.0460522932509667,44942.5085204567,11.4499104517809,0.0712891381287668,77,192
"Portugal",28186.4847062701,3.66918414892465,0.114844156279422,23492.2494371221,7.51648623375769,0.0681800040080123,75,145
"Puerto_Rico",12623.2573366351,3.44291244702055,0.0403029015108997,34505.5596980095,9.67874624085536,0.0694259596805029,92,179
"Qatar",117391.715747226,5.08701654763461,0.0580544930367378,NA,NA,NA,73,NA
"Romania",19070.5233711782,3.66289678146244,0.0845741162627403,106343.518284932,8.25327855836196,0.0512360327192705,76,157
"Russia",1045829.32709924,3.63455916068061,0.0378530968308781,NA,NA,NA,79,NA
"Rwanda",9143.12587121323,5.13909067611932,0.029801524954044,NA,NA,NA,91,NA
"Saint_Kitts_and_Nevis",NA,NA,NA,NA,NA,NA,NA,NA
"Saint_Lucia",NA,NA,NA,NA,NA,NA,NA,NA
"Saint_Vincent_and_the_Grenadines",NA,NA,NA,NA,NA,NA,NA,NA
"San_Marino",NA,NA,NA,NA,NA,NA,NA,NA
"Sao_Tome_and_Principe",NA,NA,NA,NA,NA,NA,NA,NA
"Saudi_Arabia",328653.522323462,4.77290059711105,0.045718970205835,NA,NA,NA,77,NA
"Senegal",15829.8899035211,3.75600988451719,0.0330670548904984,NA,NA,NA,85,NA
"Serbia",10955.4811702253,4.2653918440725,0.123308377558173,21117.1353795935,9.90881416129509,0.076207699021189,80,157
"Seychelles",NA,NA,NA,NA,NA,NA,NA,NA
"Sierra_Leone",NA,NA,NA,NA,NA,NA,NA,NA
"Singapore",43326.8845319147,6.74675823995928,0.075517366414053,12306.890300532,21.2750279323209,0.125958280444722,47,192
"Sint_Maarten",NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",1466.75545421335,3.47828386679418,0.123557829879427,30807.5919728943,9.474467249512,0.041317300462678,80,160
"Slovenia",1422.57011812652,2.60726289227699,0.123133189190125,785.791841002728,13.5511447868651,0.106698417011938,75,149
"Solomon_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Somalia",3150.86867819543,2.66525574232349,0.0663763806714986,244.88586574701,15.6611029039976,0.106631170525123,110,227
"South_Africa",658353.540557679,8.63288780145614,0.0694485893563432,NA,NA,NA,80,NA
"South_Korea",10201.6758434193,2.93581598892612,0.168943874925159,61963.032923545,7.34326054199427,0.0278944670325502,53,125
"South_Sudan",2400.89386569049,2.77838328486126,0.0794176281659582,NA,NA,NA,130,NA
"Spain",233322.974149839,4.19228535606571,0.118764309912997,647303.49787291,12.0642986147778,0.0614631672688043,64,168
"Sri_Lanka",1203.37335755594,4.22040032016757,0.0956911371048875,1018.89037647671,17.423861732128,0.248002079254838,84,138
"Sudan",11426.7448100418,3.54409383640705,0.0695327670535553,1698.20054399089,20.5170248835906,0.160743390665577,113,224
"Suriname",5190.67694447116,4.31670697737654,0.060399565750224,NA,NA,NA,159,NA
"Sweden",87909.1430390702,3.62596735434098,0.0390815679281359,NA,NA,NA,68,212
"Switzerland",30109.2958795352,4.06259555328766,0.141590873360201,34447.2167480076,8.53880247380213,0.0431124801131969,68,159
"Syria",4788.34073546088,6.2056847131314,0.0590003778647579,NA,NA,NA,141,NA
"Taiwan",NA,NA,NA,NA,NA,NA,NA,NA
"Tajikistan",8611.04841771516,2.00293983969715,0.0464471768195824,NA,NA,NA,127,NA
"Thailand",3174.46950804979,3.35781988908978,0.128545099678314,NA,NA,NA,72,NA
"Timor_Leste",NA,NA,NA,NA,NA,NA,NA,NA
"Togo",NA,NA,NA,NA,NA,NA,NA,NA
"Trinidad_and_Tobago",4880.16146479661,15.4071068129256,0.0914156310015468,NA,NA,NA,89,NA
"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA
"Turkey",201521.513176743,2.77378828324108,0.0612108120380315,94937.1224754237,12.3456008666175,0.0726826553304674,80,210
"Turks_and_Caicos_islands",NA,NA,NA,NA,NA,NA,NA,NA
"Uganda",NA,NA,NA,NA,NA,NA,NA,NA
"Ukraine",NA,NA,NA,NA,NA,NA,NA,NA
"United_Arab_Emirates",60675.2152324794,4.1323606438104,0.0506137955059039,32751.513375237,17.9028360821805,0.0949352168525554,73,225
"United_Kingdom",279224.007541742,4.03857632795332,0.0731786921454074,838854.938228509,10.7138235158893,0.0428493835394762,66,197
"United_Republic_of_Tanzania",NA,NA,NA,NA,NA,NA,NA,NA
"United_States_of_America",1757174.21535783,4.80679603787392,0.0803189455863321,5012176.45273919,8.54940832272581,0.0550528694011384,61,157
"United_States_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",62820.6750034263,5.86625376866191,0.0411938577536845,10411.0254438098,46.4047518282637,0.264768246818211,88,251
"Vanuatu",NA,NA,NA,NA,NA,NA,NA,NA
"Venezuela",91536.1344474201,7.32942391120771,0.0454045417819974,NA,NA,NA,87,NA
"Vietnam",NA,NA,NA,NA,NA,NA,NA,NA
"Wallis_and_Futuna",NA,NA,NA,NA,NA,NA,NA,NA
"Western_Sahara",742.345647169506,1.98794483665515,0.203578415472653,NA,NA,NA,181,NA
"Yemen",1899.23445649735,2.89826627164878,0.063232429994381,NA,NA,NA,137,260
"Zambia",15661.2152844078,6.5443405780951,0.0560601440030515,NA,NA,NA,112,NA
"Zimbabwe",7029.73777785997,5.95511238352979,0.0806430435569675,1171.92498958752,44.4398216209988,0.4077187593668,147,248
